operator,1,2,3,4,5,6,7
BackTranslation,0.9176,0.7566,0.8569,,0.8301,0.8016,
BertMLM,0.9979,0.9971,0.9985,0.9993,0.9993,0.9994,
InstructionPreservingCrossover,,0.9528,0.9327,0.9371,0.9326,0.9358,0.9349
LLMBasedParaphrasing,0.968,0.9277,0.941,0.9328,0.9374,0.9363,
OnePointCrossover,,0.9874,0.9998,0.9995,0.9992,0.9998,0.9997
POSAwareSynonymReplacement,0.9631,0.9997,0.9993,0.999,0.9994,0.9988,
SemanticSimilarityCrossover,,0.9734,0.9858,0.9862,0.9864,0.9864,0.9851
