operator,1,2,3,4,5,6,7
BackTranslation,0.9215,0.882,0.8633,0.8826,0.8806,,
BertMLM,0.9993,0.9995,0.9968,0.998,0.999,,
InstructionPreservingCrossover,,0.9356,0.9352,0.9349,0.9384,0.938,0.9751
LLMBasedParaphrasing,0.9657,0.9332,0.9203,0.941,0.9325,,
OnePointCrossover,,0.9995,0.9965,0.9969,0.998,0.9722,0.9751
POSAwareSynonymReplacement,0.9628,0.9975,0.9996,0.9989,0.9988,,
SemanticSimilarityCrossover,,0.9849,0.9851,0.9812,0.9858,0.982,0.9719
