doc_id,umap_dim1,umap_dim2
0,0.22971319,8.893408
1,1.1373208,9.356538
2,-2.8185444,6.4746013
3,-2.8219075,6.630915
4,-2.9193993,6.5995307
5,-2.7036865,6.683306
6,-2.9519973,6.553453
7,4.692407,1.977139
8,0.7308672,5.144385
9,1.1787652,4.2621384
10,1.2253941,4.7177134
11,0.86895645,4.0949078
12,1.4234295,4.710775
13,0.78093207,5.0563684
14,1.0194068,4.6552157
15,1.6367741,4.931003
16,4.101528,9.32704
17,-2.7671068,6.348249
18,-3.0664814,6.5128117
19,-3.1035228,6.58587
20,-3.0838306,6.5625215
21,-3.2669785,6.2821465
22,-3.3314116,6.2106924
23,-3.2972372,6.252804
24,-3.25386,6.287023
25,-3.162873,6.682966
26,-3.180289,6.749366
27,-3.2466671,6.7641234
28,-3.20266,6.718336
29,-3.2599397,6.7643085
30,-3.625833,5.9224772
31,-3.642663,5.9137173
32,-3.6105692,5.938246
33,-2.75816,6.263656
34,-3.1647856,6.1027565
35,2.8320463,8.866115
36,-2.093222,6.002349
37,-2.0747652,6.0234675
38,3.023286,9.258892
39,4.312025,4.0045424
40,2.8008962,5.811325
41,0.1266452,3.163874
42,4.9359336,5.7200847
43,8.045564,3.9265187
44,3.7574914,5.3641334
45,-3.525849,6.03561
46,0.55918074,-1.2041467
47,-0.66544074,4.196126
48,-0.70814633,4.0300875
49,0.5144322,9.182139
50,0.73715234,9.114831
51,1.8333871,6.359287
52,1.1010022,9.348289
53,0.9346117,9.190071
54,0.5591703,9.097724
55,0.77587426,9.065462
56,0.92049783,9.0646925
57,1.022284,9.157549
58,1.2494419,11.346117
59,1.3904493,9.375001
60,1.2596242,9.679178
61,2.6044738,5.2411413
62,1.2699134,9.58988
63,1.2690096,9.712662
64,1.2343695,11.370465
65,1.3474963,9.75071
66,1.2954254,9.327447
67,1.1802049,10.537054
68,1.55843,6.2127466
69,1.140604,9.336521
70,-2.5378945,6.7001753
71,2.4636374,10.890514
72,1.1626273,9.366857
73,3.2830586,5.633864
74,1.2656919,9.411129
75,0.7059722,10.540671
76,3.6252604,12.006494
77,4.7318935,10.991596
78,4.303211,11.790933
79,3.457696,11.389808
80,3.565266,11.34798
81,3.766472,11.486978
82,4.5264797,11.706898
83,3.6030316,11.166212
84,3.2317736,11.325948
85,4.0525317,10.439447
86,0.24958779,6.2460146
87,3.8488495,10.266635
88,1.6383488,8.987723
89,1.7546976,8.98145
90,1.494792,9.322505
91,1.3766018,9.290748
92,1.6043667,9.106122
93,4.1263533,10.24354
94,3.7459736,10.523519
95,1.380253,9.236265
96,-2.7808933,6.6567197
97,-2.9214282,6.5908694
98,-2.9308832,6.534305
99,4.576119,1.7976469
100,4.6582966,1.797847
101,4.591797,1.781202
102,4.5387926,1.8003464
103,4.6066923,1.8129499
104,4.6013346,1.7770163
105,4.5991507,1.8024423
106,4.683208,2.0102625
107,4.6786313,1.9110043
108,4.706985,2.0006933
109,4.7273474,2.0343342
110,4.7003913,1.9121826
111,4.7129455,1.854076
112,4.6663895,2.0210137
113,4.734053,1.9065441
114,4.730921,1.6337353
115,4.6968756,1.6632081
116,4.5911627,1.7474211
117,4.6980686,1.6288131
118,4.692614,1.5820453
119,4.688606,1.6734313
120,4.7116437,1.578573
121,4.718103,1.632257
122,4.7399635,1.6336849
123,4.711211,1.6491206
124,-2.71886,6.6685824
125,-2.6641204,6.758201
126,-2.7328742,6.681429
127,-2.7561302,6.649808
128,-2.6897342,6.699993
129,-2.8157954,6.5563107
130,1.1115121,4.5855827
131,0.6345363,3.8957398
132,1.0418992,4.780281
133,1.1330396,4.4140496
134,-1.7674923,9.20258
135,1.2222335,5.246813
136,0.85334677,5.1108646
137,1.0298152,4.613032
138,1.0307162,4.7604933
139,0.23112524,3.2437809
140,1.0884613,5.132657
141,1.0083213,4.627617
142,0.93290657,4.0742626
143,1.8531333,6.028181
144,4.248453,10.168467
145,1.8934549,5.9343996
146,1.1042144,5.1981196
147,1.2029207,5.281129
148,1.0411905,4.6974034
149,0.7570717,4.143783
150,1.2647123,5.44774
151,1.3683852,5.4228063
152,0.79731125,5.0469737
153,0.9626069,4.648794
154,1.0311289,4.0089936
155,1.0345484,4.75863
156,3.3474696,13.106833
157,4.090437,12.663366
158,4.11328,12.41937
159,4.531416,10.90373
160,3.9533417,12.090771
161,3.2437832,11.196312
162,3.9471145,12.149753
163,3.4183044,11.550385
164,3.6953354,10.705839
165,4.097456,12.447527
166,4.1670365,12.218278
167,4.1921616,12.187907
168,4.1916304,12.228412
169,4.443587,11.848741
170,4.1622343,12.156792
171,4.088553,12.290763
172,4.1467915,12.152525
173,4.195887,12.062159
174,4.082504,12.205275
175,3.3444152,11.928369
176,3.5781488,12.05726
177,3.907041,12.188853
178,4.1660247,12.252906
179,3.8824506,12.16729
180,3.9340787,12.294462
181,3.6809952,12.13254
182,3.8544495,12.205437
183,4.0362787,12.407191
184,4.45349,12.788197
185,4.323005,12.691657
186,4.398385,12.7060995
187,4.4534125,12.7665825
188,4.4484897,12.740376
189,4.4109983,12.722378
190,4.4605107,12.780104
191,4.418434,12.724496
192,4.3967547,12.726133
193,4.4142222,12.733952
194,3.8695564,12.46345
195,3.9867005,12.215564
196,4.0442348,12.440948
197,3.6488783,12.099691
198,3.9958909,12.435684
199,3.980398,12.3255825
200,4.036125,12.407867
201,4.173809,12.438623
202,3.9843936,12.393435
203,1.2537799,6.60388
204,1.1861825,6.635942
205,1.2452279,6.587794
206,1.4164588,6.381058
207,1.237805,6.5579133
208,1.4386401,6.654145
209,1.1982211,6.6623425
210,1.2094285,6.6251574
211,1.249337,6.5694656
212,1.2782995,6.677898
213,1.8834957,5.8108406
214,1.4222736,6.0015545
215,1.2834643,6.0485387
216,1.2998502,6.6683183
217,1.3211099,6.8065014
218,1.2683699,6.665007
219,1.3306383,6.526479
220,1.2171668,6.648334
221,1.2388613,6.627418
222,1.2342246,6.619672
223,1.2796324,6.4346857
224,1.2638226,6.5671453
225,1.3652008,6.6371646
226,1.208511,6.6319265
227,1.2425003,6.636934
228,1.2661116,6.5711937
229,1.2409923,11.293609
230,3.6108289,11.864988
231,1.4187037,11.016809
232,1.216232,9.851345
233,1.4421544,11.01771
234,3.3992252,11.416635
235,1.416685,11.006706
236,1.5381352,11.216681
237,1.6034591,10.239635
238,1.2088697,11.377218
239,1.2418025,11.416824
240,1.2965468,11.123374
241,1.4145871,11.137464
242,1.232385,11.279454
243,2.900769,12.95006
244,1.21343,11.24929
245,1.2931564,11.161751
246,1.1957057,11.349547
247,1.2256204,10.84552
248,1.198196,11.299404
249,4.2350597,10.025943
250,3.6683307,8.773749
251,3.9858406,10.401806
252,3.6535757,9.565452
253,3.9669423,9.550776
254,3.6600611,9.553286
255,4.312942,9.522442
256,1.5498366,9.02356
257,3.6998823,9.515191
258,3.5387259,9.516311
259,3.9616067,11.294237
260,2.3748355,1.8552111
261,0.35034868,6.272621
262,1.7967339,8.85005
263,0.41596302,6.2632284
264,1.8004204,8.807173
265,1.7957528,8.645415
266,1.841989,8.978267
267,0.42740548,6.3283877
268,0.38637397,6.3467426
269,3.1850705,8.237259
270,3.290081,8.352487
271,3.409628,8.194452
272,3.3096955,8.302304
273,3.3730223,8.249487
274,3.4012156,8.226101
275,3.306631,8.091567
276,3.265152,8.296998
277,3.3771598,8.197443
278,3.2991261,8.358202
279,4.333207,9.492717
280,4.212973,9.513058
281,4.471663,9.467174
282,4.3965163,9.531645
283,0.57567877,3.520744
284,4.6092973,9.420534
285,4.378379,9.624681
286,4.426072,9.448512
287,3.796065,8.691451
288,3.599026,8.73522
289,2.0618758,6.2595625
290,3.7524047,8.665545
291,3.7088878,8.816598
292,3.7013776,8.735619
293,3.7442281,8.74609
294,2.6908891,7.0065236
295,3.7537138,8.706157
296,3.5864189,8.807984
297,4.060892,9.954772
298,4.2461295,10.0147705
299,4.209499,10.070747
300,4.1408663,9.964176
301,4.2373543,10.078796
302,4.2181044,10.026678
303,4.1860313,10.151004
304,4.3035717,10.316681
305,4.2407794,10.114042
306,4.231501,10.131041
307,4.7218447,10.930592
308,4.744582,10.903422
309,4.757571,10.927103
310,4.705889,10.8852825
311,4.7354484,10.924632
312,4.745905,10.916598
313,4.7560453,10.92665
314,4.710588,10.889457
315,4.7477098,10.892934
316,4.7272325,10.895631
317,2.1590786,6.5003853
318,2.5540848,7.2640605
319,4.1652284,9.212494
320,2.497824,7.2206054
321,4.02543,8.998652
322,0.7431655,10.291001
323,2.546444,7.2914267
324,2.639705,7.1292624
325,2.4364522,7.0551825
326,-2.1480474,6.0685406
327,4.048304,12.21169
328,4.082631,9.245075
329,3.997491,9.550092
330,4.25914,9.8831
331,4.252964,9.517497
332,4.4742975,9.392514
333,4.4159675,9.474738
334,4.825705,9.33672
335,1.4402343,9.040397
336,3.9750857,9.333453
337,1.4912184,9.029975
338,3.9587126,9.318745
339,1.5962007,8.963676
340,4.9365063,9.400557
341,1.4555175,9.095813
342,4.186092,9.57104
343,1.5702587,9.028397
344,-3.013245,6.5642123
345,-3.0340307,6.5358076
346,-3.0357232,6.5673056
347,-3.3440619,6.2014556
348,-3.3055377,6.2370353
349,-3.340403,6.213808
350,-3.337743,6.206238
351,-3.2104902,6.7207417
352,-3.2035916,6.72026
353,-3.1652248,6.677927
354,-3.5985985,5.935374
355,-3.626636,5.917393
356,-3.6477816,5.90979
357,-3.5770972,5.9324965
358,3.820152,4.3724174
359,-3.1338167,6.134484
360,3.4311275,11.426637
361,3.6248107,4.8372436
362,-2.1085265,6.0495667
363,1.9767936,5.9679956
364,2.5410793,5.974409
365,3.8213224,11.098256
366,3.8002362,11.135726
367,3.218315,5.9832764
368,3.2348256,6.004776
369,3.445353,6.215179
370,2.5085008,5.8590913
371,2.5017014,6.518327
372,1.966911,6.006379
373,2.1384792,5.7155523
374,2.1120703,5.701454
375,-1.86378,5.8820715
376,3.770156,11.023939
377,2.0036356,5.8572474
378,2.3982935,5.7270575
379,3.83725,11.11704
380,2.4202473,5.988829
381,2.0472038,6.2213163
382,2.5325391,6.197171
383,0.4096639,8.828208
384,2.2786708,8.433326
385,0.57856673,10.130304
386,2.882343,8.765336
387,2.6305082,6.0351963
388,2.1060677,6.5459037
389,2.4883442,5.968212
390,1.9054576,6.072622
391,1.9171289,5.969006
392,-2.5170243,6.405085
393,3.161856,5.97907
394,2.0742924,5.979586
395,3.8519046,11.014468
396,3.1748056,6.1235657
397,2.4439268,5.997648
398,2.130206,5.7371163
399,1.9915131,5.964443
400,2.8580105,6.066097
401,2.289279,5.7359686
402,2.419842,5.822946
403,3.1487193,5.9607487
404,2.4390373,5.6804976
405,2.25574,5.8816233
406,3.7843342,11.814978
407,4.130342,12.19555
408,4.341645,11.758713
409,3.6629984,11.775158
410,4.2942085,11.53471
411,5.1918554,11.912014
412,5.2655854,12.005129
413,3.9693563,11.42914
414,3.1759624,12.212408
415,3.4366407,11.980098
416,3.3387103,11.9519005
