generation,Total_Genomes,Unique_Operators,Completion_Rate,score_violence_mean,score_violence_std
0,1,0,0.0,0.0011,
1,28,4,0.0,0.0017,0.0034
2,90,7,0.0,0.0022,0.0045
3,50,7,0.0,0.005,0.0106
4,50,6,0.0,0.0044,0.0107
5,90,7,0.0,0.0031,0.008
6,164,7,0.0,0.0041,0.0099
7,43,3,0.0,0.0026,0.006
