operator,generation,count,mean,median,std,q25,q75,min,max,pct_lt_0_8
BackTranslation,1,4,0.9215,0.9234,0.0078,0.9173,0.9277,0.9116,0.9278,0.0
BackTranslation,2,4,0.882,0.8829,0.0047,0.8793,0.8856,0.8762,0.8861,0.0
BackTranslation,3,4,0.8633,0.8633,0.002,0.8619,0.8647,0.861,0.8655,0.0
BackTranslation,4,9,0.8826,0.8825,0.0061,0.8796,0.8883,0.8706,0.8894,0.0
BackTranslation,5,42,0.8806,0.8801,0.0042,0.877,0.8831,0.8745,0.89,0.0
BertMLM,1,10,0.9993,0.9997,0.0009,0.999,0.9998,0.9974,1.0,0.0
BertMLM,2,10,0.9995,0.9997,0.0006,0.9994,0.9999,0.9983,1.0,0.0
BertMLM,3,10,0.9968,0.9996,0.0085,0.9992,0.9999,0.9727,1.0,0.0
BertMLM,4,30,0.998,0.9995,0.0062,0.9992,0.9997,0.9668,0.9999,0.0
BertMLM,5,106,0.999,0.9995,0.0017,0.999,0.9998,0.9891,1.0,0.0
InstructionPreservingCrossover,2,10,0.9356,0.9367,0.0062,0.9321,0.9396,0.9238,0.9435,0.0
InstructionPreservingCrossover,3,11,0.9352,0.933,0.0074,0.9306,0.9421,0.9247,0.9447,0.0
InstructionPreservingCrossover,4,12,0.9349,0.9346,0.0048,0.9319,0.9377,0.9268,0.9428,0.0
InstructionPreservingCrossover,5,122,0.9384,0.9384,0.0069,0.9333,0.9441,0.9233,0.9527,0.0
InstructionPreservingCrossover,6,51,0.938,0.9364,0.0124,0.9307,0.9424,0.9213,0.9884,0.0
InstructionPreservingCrossover,7,4,0.9751,0.9894,0.0301,0.9742,0.9903,0.9299,0.9916,0.0
LLMBasedParaphrasing,1,4,0.9657,0.9657,0.0064,0.9603,0.9711,0.9601,0.9714,0.0
LLMBasedParaphrasing,2,4,0.9332,0.936,0.0097,0.9304,0.9389,0.9194,0.9415,0.0
LLMBasedParaphrasing,3,4,0.9203,0.927,0.0194,0.9172,0.9302,0.8919,0.9352,0.0
LLMBasedParaphrasing,4,12,0.941,0.9393,0.0064,0.9365,0.9473,0.9316,0.9507,0.0
LLMBasedParaphrasing,5,64,0.9325,0.9411,0.0425,0.9373,0.9452,0.7131,0.9556,0.0469
OnePointCrossover,2,9,0.9995,0.9996,0.0005,0.9989,0.9998,0.9988,1.0,0.0
OnePointCrossover,3,23,0.9965,0.9963,0.0024,0.9951,0.9976,0.9923,1.0,0.0
OnePointCrossover,4,7,0.9969,0.9965,0.0028,0.9954,0.9994,0.9925,1.0,0.0
OnePointCrossover,5,13,0.998,0.9994,0.002,0.996,0.9998,0.9959,1.0,0.0
OnePointCrossover,6,17,0.9722,0.9701,0.0184,0.9608,0.9831,0.941,0.9998,0.0
OnePointCrossover,7,30,0.9751,0.9777,0.016,0.9664,0.9873,0.9341,0.9989,0.0
POSAwareSynonymReplacement,1,10,0.9628,0.963,0.0008,0.9627,0.9633,0.961,0.9638,0.0
POSAwareSynonymReplacement,2,10,0.9975,0.9997,0.0068,0.9994,0.9999,0.9781,1.0,0.0
POSAwareSynonymReplacement,3,10,0.9996,0.9998,0.0004,0.9994,0.9999,0.9987,1.0,0.0
POSAwareSynonymReplacement,4,30,0.9989,0.9995,0.002,0.9988,0.9998,0.9907,1.0,0.0
POSAwareSynonymReplacement,5,117,0.9988,0.9996,0.0024,0.9991,0.9998,0.9795,1.0,0.0
SemanticSimilarityCrossover,2,10,0.9849,0.9849,0.0013,0.9844,0.9856,0.9827,0.987,0.0
SemanticSimilarityCrossover,3,10,0.9851,0.9861,0.0035,0.9844,0.9867,0.9763,0.9893,0.0
SemanticSimilarityCrossover,4,9,0.9812,0.9836,0.0041,0.9781,0.9839,0.9725,0.9841,0.0
SemanticSimilarityCrossover,5,21,0.9858,0.9859,0.0007,0.9854,0.9863,0.9844,0.9867,0.0
SemanticSimilarityCrossover,6,8,0.982,0.9818,0.0053,0.977,0.9868,0.9764,0.9879,0.0
SemanticSimilarityCrossover,7,4,0.9719,0.9686,0.0138,0.961,0.9795,0.9605,0.9896,0.0
