generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
1.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.0348,0.0,1.0,1.0,0.0,1.0,0.0
1.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,-0.1003,0.0,1.0,1.0,0.0,1.0,0.0
1.0,LLM_POSAwareSynonymReplacement,0.0,100.0,0.0,100.0,-0.0948,0.0305,2.0,2.0,0.0,0.0,0.0
1.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,NegationOperator,0.0,100.0,0.0,100.0,-0.1188,0.0203,2.0,2.0,0.0,0.0,0.0
1.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,-0.1378,0.0011,2.0,2.0,0.0,0.0,0.0
1.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
1.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
1.0,StylisticMutator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,TypographicalErrorsOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.1113,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,0.0151,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,-0.0014,0.0,1.0,1.0,0.0,1.0,0.0
2.0,MLM,0.0,50.0,50.0,100.0,0.0696,0.0,1.0,1.0,0.0,1.0,0.0
2.0,NegationOperator,0.0,100.0,0.0,100.0,0.0083,0.0071,2.0,2.0,0.0,0.0,0.0
2.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,0.0246,0.0175,2.0,2.0,0.0,0.0,0.0
2.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
2.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2.0,StylisticMutator,0.0,100.0,0.0,100.0,0.0052,0.0035,2.0,2.0,0.0,0.0,0.0
2.0,TypographicalErrorsOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,LLMBasedParaphrasing,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
3.0,MLM,0.0,50.0,50.0,100.0,-0.0124,0.0,1.0,1.0,0.0,1.0,0.0
3.0,NegationOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,0.0025,0.0188,2.0,2.0,0.0,0.0,0.0
3.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
3.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
3.0,StylisticMutator,0.0,50.0,50.0,100.0,0.1249,0.0,1.0,1.0,0.0,1.0,0.0
3.0,TypographicalErrorsOperator,0.0,100.0,0.0,100.0,-0.0054,0.0076,2.0,2.0,0.0,0.0,0.0
4.0,ConceptAdditionOperator,0.0,100.0,0.0,100.0,-0.0054,0.0098,2.0,2.0,0.0,0.0,0.0
4.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.0797,0.0,1.0,1.0,0.0,1.0,0.0
