generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
1.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.0037,0.0,1.0,1.0,0.0,1.0,0.0
1.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,-0.0599,0.0,1.0,1.0,0.0,1.0,0.0
1.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,-0.0146,0.0,1.0,1.0,0.0,1.0,0.0
1.0,MLM,0.0,50.0,50.0,100.0,0.002,0.0,1.0,1.0,0.0,1.0,0.0
1.0,NegationOperator,0.0,100.0,0.0,100.0,-0.0087,0.0591,2.0,2.0,0.0,0.0,0.0
1.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,-0.0057,0.0,1.0,1.0,0.0,1.0,0.0
1.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
1.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
1.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.0492,0.0,1.0,1.0,0.0,1.0,0.0
1.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,-0.0112,0.0,1.0,1.0,0.0,1.0,0.0
2.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,-0.0028,0.0,1.0,1.0,0.0,1.0,0.0
2.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,-0.0052,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,-0.048,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLM_POSAwareSynonymReplacement,0.0,100.0,0.0,100.0,0.0471,0.0767,2.0,2.0,0.0,0.0,0.0
2.0,MLM,0.0,100.0,0.0,100.0,-0.024,0.0238,2.0,2.0,0.0,0.0,0.0
2.0,NegationOperator,0.0,50.0,50.0,100.0,0.0323,0.0,1.0,1.0,0.0,1.0,0.0
2.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,0.0009,0.0248,2.0,2.0,0.0,0.0,0.0
2.0,SemanticFusionCrossover,0.0,100.0,0.0,100.0,-0.032,0.0,1.0,1.0,0.0,0.0,0.0
2.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.0003,0.0,1.0,1.0,0.0,1.0,0.0
2.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,-0.048,0.0,1.0,1.0,0.0,1.0,0.0
3.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,0.0095,0.0,1.0,1.0,0.0,1.0,0.0
3.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.0857,0.0,1.0,1.0,0.0,1.0,0.0
3.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,LLMBasedParaphrasing,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,MLM,0.0,50.0,50.0,100.0,0.0048,0.0,1.0,1.0,0.0,1.0,0.0
3.0,NegationOperator,0.0,50.0,50.0,100.0,0.0005,0.0,1.0,1.0,0.0,1.0,0.0
3.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,-0.0005,0.0007,2.0,2.0,0.0,0.0,0.0
3.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
3.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
3.0,StylisticMutator,0.0,50.0,50.0,100.0,0.0151,0.0,1.0,1.0,0.0,1.0,0.0
3.0,TypographicalErrorsOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,0.0882,0.0,1.0,1.0,0.0,1.0,0.0
4.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,0.0349,0.0,1.0,1.0,0.0,1.0,0.0
4.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,NegationOperator,0.0,50.0,50.0,100.0,0.0023,0.0,1.0,1.0,0.0,1.0,0.0
4.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
4.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
4.0,StylisticMutator,0.0,100.0,0.0,100.0,0.0276,0.0222,2.0,2.0,0.0,0.0,0.0
4.0,TypographicalErrorsOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
5.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
5.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
5.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
5.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,0.0093,0.0,1.0,1.0,0.0,1.0,0.0
5.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,0.0065,0.0,1.0,1.0,0.0,1.0,0.0
5.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
5.0,NegationOperator,0.0,100.0,0.0,100.0,-0.0102,0.0322,2.0,2.0,0.0,0.0,0.0
5.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,-0.0342,0.0484,2.0,2.0,0.0,0.0,0.0
5.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
5.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
5.0,StylisticMutator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
5.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,-0.067,0.0,1.0,1.0,0.0,1.0,0.0
6.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
6.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,0.0503,0.0,1.0,1.0,0.0,1.0,0.0
6.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
6.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,-0.0032,0.0,1.0,1.0,0.0,1.0,0.0
