generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
5.0,NegationOperator,0.0,50.0,50.0,100.0,-0.0281,0.0,1.0,1.0,0.0,1.0,0.0
5.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,-0.0278,0.0,1.0,1.0,0.0,1.0,0.0
5.0,SemanticFusionCrossover,0.0,100.0,0.0,100.0,-0.0375,0.0,1.0,1.0,0.0,0.0,0.0
5.0,SemanticSimilarityCrossover,0.0,100.0,0.0,100.0,-0.0088,0.0,1.0,1.0,0.0,0.0,0.0
5.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.0186,0.0,1.0,1.0,0.0,1.0,0.0
5.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,0.0158,0.0,1.0,1.0,0.0,1.0,0.0
6.0,ConceptAdditionOperator,0.0,100.0,0.0,100.0,-0.0963,0.1184,2.0,2.0,0.0,0.0,0.0
6.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.0832,0.0,1.0,1.0,0.0,1.0,0.0
6.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
6.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,-0.0184,0.0,1.0,1.0,0.0,1.0,0.0
6.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
6.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
6.0,NegationOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
6.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,0.1844,0.0,1.0,1.0,0.0,1.0,0.0
6.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
6.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
6.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.1586,0.0,1.0,1.0,0.0,1.0,0.0
6.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,-0.0189,0.0,1.0,1.0,0.0,1.0,0.0
7.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,0.0408,0.0,1.0,1.0,0.0,1.0,0.0
7.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
7.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
7.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,0.0026,0.0,1.0,1.0,0.0,1.0,0.0
7.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,-0.0047,0.0,1.0,1.0,0.0,1.0,0.0
7.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
7.0,NegationOperator,0.0,50.0,50.0,100.0,0.0221,0.0,1.0,1.0,0.0,1.0,0.0
7.0,POSAwareAntonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
7.0,SemanticFusionCrossover,0.0,100.0,0.0,100.0,-0.0036,0.0,1.0,1.0,0.0,0.0,0.0
7.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
7.0,StylisticMutator,0.0,100.0,0.0,100.0,0.0005,0.0061,2.0,2.0,0.0,0.0,0.0
7.0,TypographicalErrorsOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
8.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
8.0,InformedEvolutionOperator,0.0,100.0,0.0,100.0,-0.1528,0.0291,2.0,2.0,0.0,0.0,0.0
8.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,-0.0299,0.0,1.0,1.0,0.0,1.0,0.0
8.0,LLMBasedParaphrasing,0.0,100.0,0.0,100.0,0.1092,0.1689,2.0,2.0,0.0,0.0,0.0
8.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
8.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
8.0,NegationOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
8.0,POSAwareAntonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
8.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
8.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
8.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.0016,0.0,1.0,1.0,0.0,1.0,0.0
8.0,TypographicalErrorsOperator,0.0,100.0,0.0,100.0,-0.0608,0.0105,2.0,2.0,0.0,0.0,0.0
9.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,0.0082,0.0,1.0,1.0,0.0,1.0,0.0
9.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.0189,0.0,1.0,1.0,0.0,1.0,0.0
9.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,-0.0003,0.0,1.0,1.0,0.0,1.0,0.0
9.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,0.0072,0.0,1.0,1.0,0.0,1.0,0.0
9.0,LLM_POSAwareSynonymReplacement,0.0,100.0,0.0,100.0,0.005,0.0063,2.0,2.0,0.0,0.0,0.0
