generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
1.0,ConceptAdditionOperator,0.0,100.0,0.0,100.0,-0.0758,0.0947,2.0,2.0,0.0,0.0,0.0
1.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,LLMBackTranslation_HI,0.0,100.0,0.0,100.0,-0.0472,0.0596,2.0,2.0,0.0,0.0,0.0
1.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,-0.1261,0.0,1.0,1.0,0.0,1.0,0.0
1.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,MLM,0.0,50.0,50.0,100.0,-0.1358,0.0,1.0,1.0,0.0,1.0,0.0
1.0,NegationOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,0.0302,0.0,1.0,1.0,0.0,1.0,0.0
1.0,SemanticFusionCrossover,0.0,100.0,0.0,100.0,-0.0744,0.0,1.0,1.0,0.0,0.0,0.0
1.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
1.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.0991,0.0,1.0,1.0,0.0,1.0,0.0
1.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,-0.1241,0.0,1.0,1.0,0.0,1.0,0.0
2.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,0.0058,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,-0.0001,0.0,1.0,1.0,0.0,1.0,0.0
2.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,NegationOperator,0.0,50.0,50.0,100.0,0.089,0.0,1.0,1.0,0.0,1.0,0.0
2.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,0.0128,0.0182,2.0,2.0,0.0,0.0,0.0
2.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
2.0,SemanticSimilarityCrossover,0.0,100.0,0.0,100.0,0.0076,0.0,1.0,1.0,0.0,0.0,0.0
2.0,StylisticMutator,0.0,100.0,0.0,100.0,-0.0016,0.0008,2.0,2.0,0.0,0.0,0.0
2.0,TypographicalErrorsOperator,0.0,100.0,0.0,100.0,0.0117,0.0167,2.0,2.0,0.0,0.0,0.0
3.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,0.0168,0.0,1.0,1.0,0.0,1.0,0.0
3.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,0.0005,0.0,1.0,1.0,0.0,1.0,0.0
