generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
1.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,0.1001,0.0,1.0,1.0,0.0,1.0,0.0
1.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.1092,0.0,1.0,1.0,0.0,1.0,0.0
1.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,0.0061,0.0,1.0,1.0,0.0,1.0,0.0
1.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,MLM,0.0,100.0,0.0,100.0,0.034,0.0021,2.0,2.0,0.0,0.0,0.0
1.0,NegationOperator,0.0,50.0,50.0,100.0,0.0175,0.0,1.0,1.0,0.0,1.0,0.0
1.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,0.0638,0.0296,2.0,2.0,0.0,0.0,0.0
1.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
1.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
1.0,StylisticMutator,0.0,50.0,50.0,100.0,0.242,0.0,1.0,1.0,0.0,1.0,0.0
1.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,0.0202,0.0,1.0,1.0,0.0,1.0,0.0
2.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.0806,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,-0.0014,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLMBasedParaphrasing,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
