generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
1.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,0.0158,0.0,1.0,1.0,0.0,1.0,0.0
1.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.0442,0.0,1.0,1.0,0.0,1.0,0.0
1.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,-0.0507,0.0,1.0,1.0,0.0,1.0,0.0
1.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,0.0735,0.0,1.0,1.0,0.0,1.0,0.0
1.0,MLM,0.0,50.0,50.0,100.0,-0.0075,0.0,1.0,1.0,0.0,1.0,0.0
1.0,NegationOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,0.0382,0.0617,2.0,2.0,0.0,0.0,0.0
1.0,SemanticFusionCrossover,0.0,100.0,0.0,100.0,-0.0303,0.0,1.0,1.0,0.0,0.0,0.0
1.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
1.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.0454,0.0,1.0,1.0,0.0,1.0,0.0
1.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,-0.0335,0.0,1.0,1.0,0.0,1.0,0.0
2.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,-0.0113,0.0,1.0,1.0,0.0,1.0,0.0
2.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,-0.0129,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,-0.0152,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLM_POSAwareSynonymReplacement,0.0,100.0,0.0,100.0,0.0716,0.0027,2.0,2.0,0.0,0.0,0.0
2.0,MLM,0.0,50.0,50.0,100.0,0.0059,0.0,1.0,1.0,0.0,1.0,0.0
2.0,NegationOperator,0.0,50.0,50.0,100.0,-0.0104,0.0,1.0,1.0,0.0,1.0,0.0
2.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,-0.0104,0.0036,2.0,2.0,0.0,0.0,0.0
2.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
2.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2.0,StylisticMutator,0.0,50.0,50.0,100.0,0.1452,0.0,1.0,1.0,0.0,1.0,0.0
2.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,-0.0255,0.0,1.0,1.0,0.0,1.0,0.0
3.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,-0.0084,0.0,1.0,1.0,0.0,1.0,0.0
3.0,LLMBasedParaphrasing,0.0,100.0,0.0,100.0,-0.0074,0.0082,2.0,2.0,0.0,0.0,0.0
3.0,LLM_POSAwareSynonymReplacement,0.0,100.0,0.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
3.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,NegationOperator,0.0,50.0,50.0,100.0,-0.0115,0.0,1.0,1.0,0.0,1.0,0.0
3.0,POSAwareAntonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
3.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
3.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.004,0.0,1.0,1.0,0.0,1.0,0.0
3.0,TypographicalErrorsOperator,0.0,100.0,0.0,100.0,0.1326,0.1832,2.0,2.0,0.0,0.0,0.0
4.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,LLMBackTranslation_HI,0.0,100.0,0.0,100.0,-0.0303,0.0627,2.0,2.0,0.0,0.0,0.0
4.0,LLMBasedParaphrasing,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,-0.0117,0.0,1.0,1.0,0.0,1.0,0.0
4.0,MLM,0.0,50.0,50.0,100.0,-0.0129,0.0,1.0,1.0,0.0,1.0,0.0
4.0,NegationOperator,0.0,100.0,0.0,100.0,-0.0307,0.047,2.0,2.0,0.0,0.0,0.0
4.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,-0.0897,0.0,1.0,1.0,0.0,1.0,0.0
4.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
4.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
4.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.0545,0.0,1.0,1.0,0.0,1.0,0.0
4.0,TypographicalErrorsOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
5.0,ConceptAdditionOperator,0.0,100.0,0.0,100.0,0.0082,0.0177,2.0,2.0,0.0,0.0,0.0
5.0,InformedEvolutionOperator,0.0,100.0,0.0,100.0,-0.1022,0.0209,2.0,2.0,0.0,0.0,0.0
5.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,-0.0011,0.0,1.0,1.0,0.0,1.0,0.0
